TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30
,CE-2,__________________________,,,,,,,,,Theory of Automata (CS-A),,,,,,,,,Theory of Automata (CS-B),,,,,,,,,__________________________________,,,,,,,,,_____________________________________,,,,,,,,,______________________________,,,,,,,,,___________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,_____________________________,,,,,,,,,Differential Equations (Cal II) (CS-C),,,,,,,,,Differential Equations (Cal II) (CS-D),,,,,,,,,__________________________________,,,,,,,,,______________________________________,,,,,,,,,____________________________,,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,_____________________________________,,,,,,,,,,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,______________________________________,,,,,,,,,,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),Object Oriented Programming Lab (CS-E1&CS-E2),,,,,,,,,,,,,,,,,,Object Oriented Programming Lab (CS-F1&CS-F2),,,,,,,,,,,,,,,,,,Object Oriented Programming Lab (CS-C1&CS-C2),,,,,,,,,,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),____________________________________,,,,,,,,,,,,,,,,,,_________________________________,,,,,,,,,,,,,,,,,,_____________________________________,,,,,,,,,,,,,,,,,,____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),Object Oriented Analysis & Design Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,_________________________________,,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-H1&CS-H2),,,,,,,,,,,,,,,,,,___________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,_____________________________________,,,,,,,,,,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),________________________________,,,,,,,,,,,,,,,,,,_________________________________,,,,,,,,,,,,,,,,,,Object Oriented Programming Lab (CS-D1&CS-D2),,,,,,,,,,,,,,,,,,_______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-D1) ,,,,,,,,,,,,,,,,,,_________________________________,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-E1) ,,,,,,,,,,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
